epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33425.7,1.44441,2.7629,1.59309,0.44664,0.34294,0.37816,0.20505,1.56933,3.3087,1.84911,0.000333035,0.000333035,0.000333035
2,54993.5,1.48366,2.17444,1.62619,0.463,0.43103,0.40028,0.22089,1.59739,2.17671,1.82674,0.000633383,0.000633383,0.000633383
3,61561.7,1.49147,1.99841,1.63236,0.46507,0.51167,0.47987,0.2712,1.5814,1.94602,1.81671,0.000900731,0.000900731,0.000900731
4,69179.9,1.47504,1.87651,1.62189,0.46205,0.50293,0.48873,0.27911,1.56263,1.79129,1.82883,0.0008515,0.0008515,0.0008515
5,123471,1.44052,1.75165,1.57944,0.58853,0.55,0.56584,0.32862,1.50308,1.64348,1.71176,0.000802,0.000802,0.000802
6,173546,1.41518,1.66404,1.55941,0.57544,0.54752,0.56701,0.33585,1.49634,1.65185,1.7303,0.0007525,0.0007525,0.0007525
7,178260,1.38761,1.5706,1.53762,0.57966,0.6199,0.62481,0.37534,1.44697,1.45226,1.65524,0.000703,0.000703,0.000703
8,249666,1.36611,1.49757,1.51833,0.61855,0.60499,0.64524,0.38735,1.43153,1.45968,1.63621,0.0006535,0.0006535,0.0006535
9,294117,1.34325,1.47186,1.50088,0.60986,0.63466,0.65469,0.39652,1.41967,1.35092,1.62944,0.000604,0.000604,0.000604
10,345656,1.32322,1.41899,1.48762,0.63069,0.64194,0.68138,0.41042,1.40487,1.38495,1.6082,0.0005545,0.0005545,0.0005545
11,349701,1.33744,1.33986,1.57605,0.66637,0.65424,0.6938,0.43171,1.37445,1.26665,1.59745,0.000505,0.000505,0.000505
12,427386,1.31133,1.27035,1.55182,0.64621,0.67201,0.70439,0.43518,1.38056,1.2238,1.59668,0.0004555,0.0004555,0.0004555
